name,address,rate,votes,cost_for_two,latitude,longitude,score
2nd Home Restaurant,"16/1, 33rd Main Road, 1st Stage, BTM, Bangalore",3.7,21.0,500.0,12.922943736363635,77.61755287272726,21.13753609625669
3 Leafs,"158, Vignana Nagara Main Road, Kaggadasapura, Bangalore",3.7000000000000006,128.0,600.0,12.9725007000009,77.6788451000003,87.45454545454545
3 Spice,"115/34, 8th Cross, 4th Main, Wilson Garden, Bangalore",3.899999999999999,156.66666666666666,450.0,12.948192000000004,77.5944038,100.18024354196281
30 Square,"124, First Floor, KHB Colony, Koramangala 5th Block, Bangalore",4.200000000000001,557.0909090909091,400.0,12.933952331542969,77.62245178222656,358.79608096770784
360 Atoms Restaurant And Cafe,"47, 48 &49, 3Rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",3.1000000000000005,13.0,400.0,12.9164308,77.5474718,15.112499999999999
36th Cross Coffee Mane,"10th Main, 36th Cross, Jayanagar 4th Block, Jayanagar, Bangalore",3.6500000000000004,19.666666666666668,250.0,12.927138400000002,77.58605569999999,14.967496144084278
37 China Town,"Hotel 37th Crescent, 37, Crescent Road, High Grounds, Race Course Road, Bangalore",3.5,58.0,900.0,12.9838195500475,77.5857934999739,26.32668322603321
"3B's - Buddies, Bar & Barbecues","5th Floor, CPR Tower, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",4.3999999999999995,1160.7692307692307,1100.0,12.906133000000002,77.595636,832.7866524611708
"3B's - Buddies, Bar & Barbecues","Rooftop, 90/4, Above AB's, Near Park Plaza Hotel, Outer Ring Road, Marathahalli, Bangalore",4.5,1910.6666666666667,1100.0,12.959869,77.7013341,3276.773265039176
3G's - Gulp & Groove,"343, 8th A Main Road, Milk Colony, Subramanyanagar, 17th Cross, Malleshwaram, Bangalore",4.1000000000000005,663.0,1100.0,13.0178849,77.5576021,758.8436532121733
3rd Innings,"2/7, Opposite BMW Navnit Motors, Beratana Agrahara Village, Hosur Main Road, Electronic City, Bangalore",3.0,17.0,1000.0,12.847806930541992,77.66319274902344,6.181272804576373
4 Mangoes,"34, SVB Complex, Opposite Top In Town, Old Airport Road, Bangalore",3.7,15.0,200.0,12.9629139011743,77.6274562997851,8.325
4 Seasons Restaurant,"1st Floor, Lamcy Plaza, Opposite Tanishq Showrrom, HRBR, 2nd Block, Kalyan Nagar, Bangalore",3.7,399.0,1000.0,13.0258,77.6372,141.9409074074074
4 States,"The Bay, Campus 8A, RMZ Ecoworld, Bellandur, Bangalore",3.2,4.0,400.0,12.929118156433104,77.67872619628906,4.750222222222223
46 Ounces Brewgarden,"43, Phase 1, Electronic City, Bangalore",0.0,0.0,1600.0,12.853686,77.666788,0.0
4700BC Popcorn,"Second Floor, Phoenix Market City, Whitefield, Bangalore",4.1,55.0,500.0,12.96984577178955,77.75103759765625,46.811383928571416
4Foodiez,"11, Smondoville Neotown Road, Phase-1, Electronic City, Bangalore",3.6500000000000004,82.0,300.0,12.8221319010066,77.6565036855695,67.3425
4Foodiez - The Restaurant,"7, Smondo Ville 03, Neotown, Electronic City Phase 1, Electronic City, Bangalore",3.0,23.0,400.0,12.842605590820312,77.66239929199219,13.050108812755871
4K Biryani,"37, Somasundarapalya Main Road, ITI Layout, Hosapalaya, Muneshwara Nagar, HSR, Bangalore",3.3,4.0,700.0,12.9011578,77.6586765,0.0
4th Tea Block,"524, 10th Main, 4th Block, Jayanagar, Bangalore",4.0,62.0,150.0,12.935592148549608,77.58484560526189,79.65523809523809
5 Star Food,"15th Cross, Guru Vibhav Nilayam, Oil Mill Road, Lingarajapuram, Kammanahalli, Bangalore",0.0,0.0,300.0,13.013057,77.6315,0.0
55 Wall Street,"55, 2nd Floor, Goenka Chambers, 19th Main Road, Outer Main Road, JP Nagar, Bangalore",3.8999999999999995,1775.2222222222222,1300.0,12.9053619,77.5898628,1567.3518399138002
56 Bhoga Sweets,"49, Agara Circle, Near Hanuman Statue, HSR Layout, Bangalore, HSR, Bangalore",3.6,51.0,150.0,12.9098227,77.6535439,45.38748948745887
5th Main Cafe,"355, 14th B Cross, 5th Main, 6th Sector, HSR, Bangalore",3.5,15.0,250.0,13.097408,77.579343,6.1303188775510185
7 Days Restaurant,"103,77, Srinivas Building, Near Infosys Gate No 6, Konappana Agarahara, Electronic City, Bangalore",3.8,478.0,400.0,12.847806930541992,77.66319274902344,-38.92285714285709
7 Degrees North,"36/3 Opposite Silver High Apartment Somsunder Pallya Circle, HSR, Bangalore",3.5,11.0,500.0,12.976746559143066,77.57527923583984,8.016666666666666
7 Hills Andhra Mess,"Behind Bagmane Tech Park, Kishnappa Garden, Near HP Office, CV Raman Nagar, Bangalore",3.4,8.0,300.0,12.9773292017599,77.6548814846753,4.152047619047618
7 Plates,"12, Rahmathnagar Bus Stop, RT Nagar, Bangalore",3.9,210.0,600.0,13.017254,77.591873,119.43749999999994
7 Plates,"126, 1st A Cross Road, Koramangala 5th Block, Bangalore",3.7,259.0,750.0,12.93487092557,77.62959731380728,91.54214954719306
7 Plates,"420, 5th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",3.575,522.0,600.0,13.0230345,77.6405691,339.3454113244658
7 Plates,"5/5, Benson Cross Road, Near Family Super Market, Benson Town, Frazer Town, Bangalore",3.8999999999999995,169.42857142857142,600.0,12.996928999999998,77.603727,185.016
7 Shanghai,"7, Krishna Gowda Building, Opposite Wipro Gate 12, Electronic City Phase 1, Bangalore",3.5,18.5,250.0,12.8349651,77.6563084,-6.582659722222221
7 Spice,"Number 122, Opposite Seethapama, Kalyana Mantapa, Banaswadi, Bangalore",3.4,5.0,250.0,13.013787269592283,77.65107727050781,2.0431701631701618
7 to 11 Food Court,"45, 5th Cross, Jai Jawan Nagar, Banaswadi, Bangalore",3.7,16.4,200.0,13.006952000000002,77.647068,13.803092518266563
70 Brigade - Iris Hotel,"Iris Hotel, Next to Eva Mall, 70, Brigade Road, Bangalore",3.8999999999999995,105.2,1000.0,12.973336219787598,77.60750579833984,51.02310690235687
7Biryanis,"MS Ramaiah North City, Manayata Tech Park, Nagavara Bengaluru, Nagawara, Bangalore",3.2,4.0,600.0,13.024263381958008,77.61666107177734,-0.9389206349206348
7th Heaven,"4/3, Sree Complex, 12th Main, MSRE College Road, Mathikere, New BEL Road, Bangalore",3.6,17.0,300.0,13.0375411000023,77.5654709500062,26.91917987012987
8 Slice,"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore",3.6999999999999997,74.0,600.0,12.936142921447754,77.62519836425781,53.04875
9 Bowls,"11, 1st Main, 1st Cross, Jakkasandra Extension, Koramangala 1st Block, Bangalore",0.0,0.0,500.0,12.935822176911927,77.63320495938721,0.0
90's,"E339, 25th Main Road, Sector 2, Parangi Palaya, HSR, Bangalore",0.0,0.0,200.0,12.90463886842,77.6493679011371,0.0
90's Beer Cafe - Hotel Millennium Plaza,"396/48, Huskur Gate, Opposite Vimalalaya Hospital, Near Biocon Factory, Electronic City, Bengaluru",3.0,7.0,1000.0,12.847806930541992,77.66319274902344,2.6921428571428563
90's Cafe,"120, 9th Cross Road, Jeewan Sathi Colony, 1st Phase, JP Nagar, Bengaluru",0.0,0.0,500.0,12.910357,77.580926,0.0
99 Caffe,"10, Opposite Bhawana PG, Kundanahalli Gate, Brookefield, Bangalore",3.6,106.0,250.0,12.965700149536133,77.71880340576172,89.12833333333333
99 Pancakes,"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",4.1000000000000005,44.05882352941177,229.41176470588235,12.975748250052597,77.6018505500258,42.763263864144186
99 Pancakes,"70, Jyoti Nivas College Road, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",4.5,343.6875,325.0,12.932675399999995,77.6142259,354.1000944623579
99 Variety Dosa & Pav Bhaji,"6th Block, Sony World Signal, Koramangala 6th Block, Bangalore",3.7999999999999994,16.0,250.0,12.936142921447754,77.62519836425781,8.703151515151509
99 Variety Dosa and Pav Bhaji,"17G, 18th Cross, 3rd Sector, HSR, Bangalore",4.0,101.0,250.0,12.9111396001173,77.64616723751553,87.37301587301585
99 Variety Dose-Biryanis-Starters,"2nd Main, Muneshwara Layout, Vinayaka Nagar, Kudlu Gate, HSR, Bangalore",0.0,0.0,300.0,12.976746559143066,77.57527923583984,0.0
99Foods,"Beside Arena Mall, Outer Ring Road, Opposite BCBP Tech Park, Doddanekundi, Bangalore",3.4,32.0,400.0,12.972078323364258,77.69123840332031,15.92553706523361
9D Foods,"8, Ground Floor, KRTI Building, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",4.066666666666666,460.0,400.0,12.9482389002224,77.7070957999956,339.9835189122786
9th Cross Cafe,"L 66, 7th Main Road, LIC Colony, HAL 3rd Stage, Sector 11, Jeevan Bhima Nagar, Bangalore",3.6,12.0,550.0,12.968097,77.652301,9.872307692307691
@ Biryani Central,"116/1B, Site 34, SGR Dental College Road, Munnekolala, Marathahalli, Bangalore",2.7000000000000006,135.0,550.0,12.949401,77.7016409,-5.534693877550996
@ The Bbq,"548/1, Syed Plaza, Outer Ring Road, Bellandur, Bangalore",1.9,16.0,700.0,12.9979958128707,77.6713177932522,11.641641025641025
@99,"90/2, Sobha Rani Compound, Shetty Layout, Mahadevpura, Whitefield, Bangalore",3.4,37.0,200.0,12.99319553375244,77.70158386230469,24.44534349593496
@Italy,"17/9 Krishna Kuteer Food Court, 18th Cross Sector 3, HSR, Bangalore",3.5,40.0,700.0,12.976746559143066,77.57527923583984,32.96413903318903
@Italy,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",4.1,305.5,700.0,12.9064291,77.5588184,217.1583710317459
@North Parontha Hut,"Shop 10, Sst Complex Pattandur Agarhara Road Old Airport Road, Bangalore",0.0,0.0,300.0,12.976746559143066,77.57527923583984,0.0
A 1 Pizza and Food,"370, Wind Tunnel Road, Murgeshpalya, Old Airport Road, Bangalore",2.8,213.0,300.0,12.95937592500005,77.6542655749996,-189.87577777777773
A Bar,"462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR, Bangalore",3.3000000000000003,19.0,600.0,12.9190107513449,77.6323334841361,14.367232638888883
A Hole Lotta Love Cafe,"59, 1st Floor, Diagonally Opposite JNC, Industrial Layout, Koramangala 5th Block, Bangalore",4.353333333333333,2869.5333333333333,600.0,12.933952331542969,77.62245178222656,4222.710599598149
A Little For Love,"19, Northwoods, Vaddarapalya, Hennur Agara Main Road, Hennur, Bangalore",3.4,12.0,350.0,13.0374915500263,77.6433403999966,10.58598095238095
A M Biryani Hotel,"958/60/A2A, Opposite BGS School, Hulimavu, Bannerghatta Road, Bangalore",3.2999999999999994,6.0,300.0,12.976746559143066,77.57527923583984,5.225
A Southern Fair,"107/P4, Ground Floor, Pattandur Agrahara, Whitefield, Bangalore",3.1,17.5,750.0,12.9792049,77.7339789,6.124898165326737
A Today Thick Shakes,"488, Basement, Opposite Krishna Temple, Koramangala 5th Block, Bangalore",3.1999999999999997,9.0,200.0,12.933952331542969,77.62245178222656,2.436909090909088
A.M New Punjab Food Corner,"49/6-15, 3rd Main Road, Janatha Colony, Jakkasandra, Koramangala 1st Block, Bangalore",3.5,21.0,350.0,12.920137003901363,77.63497802471274,7.36113636363636
A1 Ambur Dum Biryani And Parota Centre,"1455,14th Main, 2nd Phase, Shunkar Mutt Road, Next To Goutam College, Mahalaxmi Puram, Basaveshwara Nagar Bangalore",3.2,4.0,300.0,13.000988,77.541081,-2.0479999999999987
A1 Biriyani Point,"167, Opposite Natraj Theatre, SC Road, Seshadripuram, Bangalore",3.0,10.0,200.0,12.9877868001641,77.5739625999574,-6.3809523809523805
A1 Garam Masala,"1, Amruthnagar Main Road Konankunte, Kanakpura Road, Bengaluru",3.6,25.0,550.0,12.8834327,77.566547,31.11825795632938
A1 Hot Dum Biryani,"Chicka Thirupath Road, Channasandra, Whitefield, Bangalore",3.2,4.0,150.0,12.9843226034384,77.7828180678641,0.0
A1 Spice Inn,"4/1, 3rd Cross, Opposite NIAS Gate, MSRIT Road, Mathikere, Yeshwantpur, Bangalore",3.5,46.0,500.0,13.025418281555176,77.5438232421875,42.21060730032754
A2B - Adyar Ananda Bhavan,"01, 100 Feet Ring Road, 1st Phase, 2nd Stage, BTM, Bangalore",4.2,38.5,200.0,12.90618,77.595299,2.5112499999999955
A2B - Adyar Ananda Bhavan,"12, CMH Road, Indiranagar, Bangalore",3.0,566.4,360.0,12.981955,77.64238,271.88145194239314
A2B - Adyar Ananda Bhavan,"1260, SY 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",4.15,52.0,200.0,12.895425796508787,77.58158111572266,36.424687500000005
A2B - Adyar Ananda Bhavan,"135, Munekolala Varthur hobli, HAL Main Road, Marathahalli, Bangalore",2.7,599.0,400.0,12.956629,77.704681,165.33274660830236
A2B - Adyar Ananda Bhavan,"141, Bangalore North Taluk, Nagawara, Bangalore",2.7,194.0,400.0,13.024263381958008,77.61666107177734,81.60715966386556
A2B - Adyar Ananda Bhavan,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",3.8,155.0,400.0,12.9539596823678,77.5433621612958,208.55157738095232
A2B - Adyar Ananda Bhavan,"154, Opposite HSBC Bank, Bilekahalli, Bannerghatta Road, Bangalore",2.7,425.5,400.0,12.9078269,77.6020301,325.05413988095245
A2B - Adyar Ananda Bhavan,"3, 100 Feet Road, 16th Main Road, 1st Stage, BTM Layout",3.8,685.0,400.0,12.9308515,77.5428992,966.322938881108
A2B - Adyar Ananda Bhavan,"34, Bellary Main Road, Dena Bank Colony, Ganganagar, RT Nagar, Bangalore",3.5,78.0,400.0,13.023104,77.584899,110.1555
A2B - Adyar Ananda Bhavan,"344, 7th Block, Koramangala 7th Block, Bangalore",2.7,249.0,400.0,12.937355041503906,77.61134338378906,98.48948736263736
A2B - Adyar Ananda Bhavan,"37/3, Jayavani's Ishwerya Towers, Meanee Avenue Road, Ulsoor, Bangalore",3.6,42.0,400.0,12.987026264954102,77.6198115719503,37.044
A2B - Adyar Ananda Bhavan,"421, 2nd Street, Kammanahalli, Bangalore",3.8,98.0,600.0,13.0136898812907,77.6366968411741,89.92297081968144
A2B - Adyar Ananda Bhavan,"421, Opposite BSNL Office, 3rd Cross, 2nd Block, CMR Road, Kalyan Nagar, Bangalore",3.6,244.0,400.0,13.0230504,77.6407188,333.46666666666664
A2B - Adyar Ananda Bhavan,"57, 6th Cross, Sampige Road, Malleshwaram, Bangalore",2.7,82.0,400.0,12.9991688000145,77.5747916006285,27.187798450543408
A2B - Adyar Ananda Bhavan,"703, Near Karnataka Bank, 5th Block, HMT Layout, Vidyaranyapura, New BEL Road Area, New BEL Road, Bangalore",3.0,50.0,400.0,13.0756232,77.5639521,24.99999999999999
A2B - Adyar Ananda Bhavan,"71, 15th Cross Street, Neeladri Nagar, Electronic City, Bangalore Electronic City",3.1,352.0,400.0,12.8512369,77.6741622,77.72634920634917
A2B - Adyar Ananda Bhavan,"710, Thubarahalli, Varthur Main Road, Whitefield, Bangalore",3.766666666666667,36.333333333333336,200.0,12.9563246521007,77.709006722492,28.448765532307196
A2B - Adyar Ananda Bhavan,"BDA Complex, HSR, Bangalore",2.8,484.0,400.0,12.9138686,77.637459,277.06983333333324
A2B - Adyar Ananda Bhavan,"Kitchens@, 14th Main, 5th Sector, HSR, Bangalore",4.15,41.0,200.0,12.9170402954914,77.6382064588561,13.207450396825388
A2B - Adyar Ananda Bhavan,"Meanee Avenue, Tank Road, Ulsoor, Bangalore",2.9,22.0,400.0,12.9885268500012,77.6172074000033,6.666808132346953
A2B - Adyar Ananda Bhavan,"Near BMTC Bus Stand, Shanti Nagar, Bangalore",3.9,184.66666666666666,400.0,12.961997032165527,77.59703826904297,134.20339265873017
A2B - Adyar Ananda Bhavan,"Near Hope Farm Signal, Kadugodi, Whitefield, Bangalore",2.5,544.0,400.0,12.9843355394653,77.7526640237912,387.9507936507935
A2B - Adyar Ananda Bhavan,"Near Narayana Hrudayalaya, Chandapura, Electronic City Area, Electronic City, Bangalore",3.6,213.0,400.0,12.847806930541992,77.66319274902344,225.60711038961037
A2B Veg - Adyar Ananda Bhavan,"200, Next to Canara Bank, KG Road, Gandhi Bazaar, Basavanagudi, Bangalore",2.7,97.0,400.0,12.943451881408691,77.5740966796875,51.28874999999999
A2B Veg - Adyar Ananda Bhavan,"746/18, 60th Cross, Bashyam Circle, Rajajinagar, Bangalore",2.9,96.0,400.0,12.984223,77.553943,1.890370370370364
A2B Veg - Adyar Ananda Bhavan,"South End Road, Jayanagar, Bangalore",2.8,210.0,400.0,12.9367872000006,77.5801396000002,68.73222222222216
A3 Nuwang Kitchen,"6/1, Ejipura Pipeline Road, Ejipura, Bangalore",3.7,42.0,300.0,12.946019157317199,77.6292097406466,25.2525
AB's - Absolute Barbecues,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",4.8999999999999995,6414.857142857143,1600.0,12.910477799999999,77.6144106,11035.0371502611
AB's - Absolute Barbecues,"1st Floor, GRS Towers, Above Spencers Hyper Market, Sarjapur Main Road, Sarjapur Road, Bangalore",4.7,949.5,1600.0,12.9175196000013,77.6721326000013,1264.113094498447
AB's - Absolute Barbecues,"2nd Floor, I20-A2, EPIP Zone, Near Vydehi Hospital, Whitefield, Bangalore",4.8,2924.3333333333335,1600.0,12.96984577178955,77.75103759765625,4220.547827943726
AB's - Absolute Barbecues,"2nd Floor, Roseline Landmark, 5th B Cross, HRBR Layout, 3rd Block, Kalyan Nagar, Bangalore",4.633333333333333,1567.0,1400.0,13.026482,77.666702,2569.6947258807218
AB's - Absolute Barbecues,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",4.8,12121.0,1600.0,12.959869,77.7013341,21129.372705786343
ABC Grand,"First Floor, Aspire 516, Near To ICICI Bank, CMH Road, Indiranagar, Bangalore",3.5,54.0,700.0,12.978227,77.642583,41.17338969095421
AKS Family Dhaba And Restaurant,"37, Ganapa Nilaya, SGR Dental College Road, Beside Med Plus, Marathahalli, Bangalore",3.6,40.333333333333336,500.0,12.9482457503359,77.7063343500169,30.364888888888885
AKSHAYA BIRYANI,"15/38, Opposite Ocian Manoda Apartment, Sarjapur Road, Kasavanhalli, Bangalore",3.6,20.8,300.0,12.976746559143066,77.57527923583984,28.07469387755102
AM WOW,"615, Janardhan Mansion, 32nd D Cross Road, 10th C Main Road, 4th Block, Jayanagar, Bangalore",3.4,6.0,100.0,12.927412000000002,77.5850519,2.988357142857142
AM's Cafe Recreate,"Shop 2, VP Road, Opposite To Sandhya Theatre, Madiwala, BTM, Bangalore",3.3666666666666667,9.333333333333334,250.0,12.8816902,77.5829526,7.778715151515151
AM's Cafe Recreate,"Shop 2, VP Road, Opposite to Sandhya Theatre, Madiwala, BTM, Bangalore",3.3,8.0,250.0,12.8816902,77.5829526,3.030933333333333
ANTIGRAVITY,"35, 4th Floor, Kadubeesanahalli, Marathalli Outer Ring Road, Opposite Oracle & JP Morgan, Marathahalli, Bangalore",4.4,735.6666666666666,1500.0,12.9550306845274,77.7007877122172,1019.4247310670917
AQNI,"1, 15th Cross, 2nd Block, Next to Patel's Inn, Govindraj Garden, RT Nagar, Bangalore",3.0,9.0,500.0,13.0200589,77.5977859,2.4235714285714267
AQNI,"2/4, 80 Feet Road, RMV Extension, Ashwathnagar, Near, New BEL Road, Bangalore",3.6,89.0,650.0,13.027112800031498,77.5784946500123,86.77499999999999
ASEAN - On The Edge,"84, 13th Floor, Barton Center, MG Road, Bangalore",4.454545454545454,868.3636363636364,1800.0,12.975402800000001,77.60484310000001,1113.651183265236
ASIA SEVEN,"Phoenix Marketcity, Bengaluru East, Unit SFC-08, 2nd Floor, Foodcourt, Mahadevpura, Near Krishnajapuram Flyover, Whitefield, Bangalore",3.3,4.0,300.0,12.996933937072754,77.6964111328125,2.0161111111111105
Aaccord Restaurant,"27, BHBCS Layout, Opposite Gopalan Mall, BTM, Bangalore",0.0,0.0,622.2222222222222,12.91946792602539,77.61549377441406,0.0
Aadhya Hotel,"215, 2nd Main, Thygarajanagar, Basavanagudi, Bangalore",3.3,5.0,800.0,12.946763100000002,77.5566281,0.0
Aadvik Nightfood,"3/52, Shri Chowdeshwari Temple Road, YK Layout, Lingarajapuram, Frazer Town, Bangalore",3.6,22.0,350.0,13.0103594000016,77.6243219500013,13.529999999999998
Aagaman Veg,"545, 3rd Floor, CMH Road, Indiranagar, Bangalore",4.0,557.625,900.0,12.972778000000002,77.64329299999999,369.52570863004286
Aagaman Veg,"Legacy Building, Ground Floor, Behind Niligiris, Phase 1, Electronic City, Bangalore",0.0,0.0,900.0,11.375,76.75833129882812,0.0
Aaha,"Graphite India Main Rd, B Block, AECS Layout, Next To Daily Santhe, Kundalahalli, Brookefield, Bangalore",3.6,93.6,300.0,12.964548099999998,77.7149766,-35.20799999999998
Aaha Andhra,"12/12/2, Devarabisanahalli, Bellandur, Bangalore",3.7,11.0,900.0,12.929118156433104,77.67872619628906,3.0901851851851845
Aaha Andhra,"3302/L, HAL 2nd Stage, 12th A Main, Doopanahalli, Indiranagar, Bangalore",4.2,814.25,900.0,12.9692993,77.6364746,866.7314111888112
Aaha Andhra,"Salarpuria Aura Food Court, Block 11, Marathahalli - Sarjapur Outer Ring Road, Kaverappa Layout, Kadubeesanahalli, Marathahalli, Bangalore",3.4,58.0,900.0,12.9419951,77.6965785,18.55585015711
Aahar Cafe,"39/4, North Anjaneya Temple Street, Basavanagudi, Bangalore",0.0,0.0,100.0,12.9448896,77.5681127,0.0
